[2022-11-01 13:14:32,666][lightning][INFO] - successful load initial weights
[2022-11-01 13:15:48,776][lightning][INFO] - prediction: салют перемобыстекатмоспослореево
[2022-11-01 13:15:50,686][lightning][INFO] - reference : афина как учился базаров александр
[2022-11-01 13:15:50,687][lightning][INFO] - prediction: афина скакача са пазара калесата
[2022-11-01 13:15:52,576][lightning][INFO] - reference : сбер баланс на карте сорок восемь двадцать пять последние четыре цифры
[2022-11-01 13:15:52,577][lightning][INFO] - prediction: алюнсбер фаластакаисерукусидете поснедисеридеа
[2022-11-01 13:15:54,298][lightning][INFO] - reference : сбер много разговариваешь и все не по делу
[2022-11-01 13:15:54,299][lightning][INFO] - prediction: сбер нобродавармушси боде
[2022-11-01 13:15:55,842][lightning][INFO] - reference : афина покажи телевизионный канал матч тв
[2022-11-01 13:15:55,842][lightning][INFO] - prediction: афина кокализелизаме канамастиби
[2022-11-01 13:15:57,830][lightning][INFO] - reference : джой как расплачиваться в бельгии
[2022-11-01 13:15:57,830][lightning][INFO] - prediction: джой какроспочинусярпеди
[2022-11-01 13:15:59,422][lightning][INFO] - reference : джой какие виды черное лето ты знаешь
[2022-11-01 13:15:59,423][lightning][INFO] - prediction: джой пакиевибичотаераы знаешь
[2022-11-01 13:16:01,344][lightning][INFO] - reference : афина шутки про нападение
[2022-11-01 13:16:01,344][lightning][INFO] - prediction: афина чобкипролн бадени
[2022-11-01 13:16:03,268][lightning][INFO] - reference : сколько стоит один евро в рублях
[2022-11-01 13:16:03,268][lightning][INFO] - prediction: болюкосторталимерогубля
[2022-11-01 13:16:05,334][lightning][INFO] - reference : афина где было восстание разина
[2022-11-01 13:16:05,334][lightning][INFO] - prediction: афина дебугостанирасма
[2022-11-01 13:16:07,257][lightning][INFO] - reference : афина заплатить за владимир водоканал
[2022-11-01 13:16:07,258][lightning][INFO] - prediction: афина сбати тзалодимнерзадканал
[2022-11-01 13:16:09,050][lightning][INFO] - reference : салют какие каких защитников животных ты знаешь
[2022-11-01 13:16:09,050][lightning][INFO] - prediction: салют какиниизачити кожоонатызнашь
[2022-11-01 13:16:11,018][lightning][INFO] - reference : джой отметь что этот трек не катит
[2022-11-01 13:16:11,018][lightning][INFO] - prediction: джой кочтато трату кас
[2022-11-01 13:16:12,963][lightning][INFO] - reference : сбер в чем заключается уникальность продукта тинькова и почему они им так гордятся
[2022-11-01 13:16:12,963][lightning][INFO] - prediction: сбер чедоключазни канистабутытинковточемони топорта
[2022-11-01 13:16:14,832][lightning][INFO] - reference : салют покажи где есть банкоматы
[2022-11-01 13:16:14,832][lightning][INFO] - prediction: салют пакажинедеесбонкананты
[2022-11-01 13:16:16,385][lightning][INFO] - reference : салют вперед на пятнадцать минут
[2022-11-01 13:16:16,385][lightning][INFO] - prediction: салют спрепапасналар
[2022-11-01 13:16:17,866][lightning][INFO] - reference : салют оформить кредит на выгодных условиях
[2022-11-01 13:16:17,866][lightning][INFO] - prediction: салют кафо ниткредина гогыда хосоли
[2022-11-01 13:16:19,809][lightning][INFO] - reference : сбер какие координаты у штаб квартиры оон
[2022-11-01 13:16:19,810][lightning][INFO] - prediction: сбер каки кардинаатуштокклотео уо
[2022-11-01 13:16:21,790][lightning][INFO] - reference : афина проиграй диско
[2022-11-01 13:16:21,790][lightning][INFO] - prediction: афина орльдраиско
[2022-11-01 13:16:23,444][lightning][INFO] - reference : джой есть дети у ольги юрьевны
[2022-11-01 13:16:23,444][lightning][INFO] - prediction: джой ездетерладмре
[2022-11-01 13:16:25,426][lightning][INFO] - reference : салют включи всеволода фиалковского
[2022-11-01 13:16:25,426][lightning][INFO] - prediction: салют ключисево бикеро посло
[2022-11-01 13:16:27,269][lightning][INFO] - reference : сбер перевести маме на карту сотню
[2022-11-01 13:16:27,270][lightning][INFO] - prediction: сбер перевести мануна каоссоб
[2022-11-01 13:16:28,935][lightning][INFO] - reference : сбер машке триста рублей перекинь пожалуйста
[2022-11-01 13:16:28,935][lightning][INFO] - prediction: сбер машти тесторубмлетитибожалс
[2022-11-01 13:16:30,999][lightning][INFO] - reference : джой установить будильник как сегодня
[2022-11-01 13:16:30,999][lightning][INFO] - prediction: джой остеринодени катебонны
[2022-11-01 13:16:33,079][lightning][INFO] - reference : джой страна сталининградской военной школы летчиков
[2022-11-01 13:16:33,080][lightning][INFO] - prediction: джой странасторнидрасквий оямичколыячи
[2022-11-01 13:16:34,960][lightning][INFO] - reference : афина скажи какое текущее время
[2022-11-01 13:16:34,960][lightning][INFO] - prediction: афи скожи пакочькучевинак
[2022-11-01 13:16:36,694][lightning][INFO] - reference : сбер включить песню через пятьдесят минут
[2022-11-01 13:16:36,694][lightning][INFO] - prediction: скер ключи пизничистидисонну
[2022-11-01 13:16:38,376][lightning][INFO] - reference : салют попов что любит читать
[2022-11-01 13:16:38,377][lightning][INFO] - prediction: салют попов чторати чтать
[2022-11-01 13:16:40,059][lightning][INFO] - reference : афина кто такой алексей викторович щусев
[2022-11-01 13:16:40,059][lightning][INFO] - prediction: афина позаоалисини прелччесе
[2022-11-01 13:16:41,771][lightning][INFO] - reference : сбер переведи дену миллион с дебетовой карты
[2022-11-01 13:16:41,771][lightning][INFO] - prediction: сбер кедеведитберамны мееондебебоны кары
[2022-11-01 13:16:43,549][lightning][INFO] - reference : джой оплата мобильной связи онлайн для друга
[2022-11-01 13:16:43,549][lightning][INFO] - prediction: джой тотанамилнеслязгонан ятиробын
[2022-11-01 13:16:45,793][lightning][INFO] - reference : джой где упоминается криминалистика
[2022-11-01 13:16:45,793][lightning][INFO] - prediction: джой депонняте корннанистика
[2022-11-01 13:16:47,529][lightning][INFO] - reference : как называется валюта в эфиопии
[2022-11-01 13:16:47,529][lightning][INFO] - prediction: на зваетсяволотавтви
[2022-11-01 13:16:49,447][lightning][INFO] - reference : салют пополнить счет нов региональный оператор рб
[2022-11-01 13:16:49,447][lightning][INFO] - prediction: салют торонишет носаригенанияя дирато влюбо
[2022-11-01 13:16:51,204][lightning][INFO] - reference : сбер тариф обслуживания
[2022-11-01 13:16:51,204][lightning][INFO] - prediction: сбер кс шсни
[2022-11-01 13:16:53,032][lightning][INFO] - reference : салют какая площадь у города вилья доминика
[2022-11-01 13:16:53,032][lightning][INFO] - prediction: салют какоя пасе породавиенмивыка
[2022-11-01 13:16:54,918][lightning][INFO] - reference : афина какой твой возраст в годах
[2022-11-01 13:16:54,918][lightning][INFO] - prediction: афина какойтомозас кодав
[2022-11-01 13:16:56,932][lightning][INFO] - reference : джой включи фильм я худею
[2022-11-01 13:16:56,933][lightning][INFO] - prediction: джой включи фирьмдявудии
[2022-11-01 13:16:58,790][lightning][INFO] - reference : афина продолжить воспроизведение песен
[2022-11-01 13:16:58,790][lightning][INFO] - prediction: афина протожитосивоспрозведение песе
[2022-11-01 13:17:00,760][lightning][INFO] - reference : афина включить свет около беседки
[2022-11-01 13:17:00,760][lightning][INFO] - prediction: афина калечитсвирт околарбисетзе
[2022-11-01 13:17:02,928][lightning][INFO] - reference : джой какие виды нервной булимии ты знаешь
[2022-11-01 13:17:02,928][lightning][INFO] - prediction: джой катиетлерны имиты знаешь
[2022-11-01 13:17:04,600][lightning][INFO] - reference : джой что такое валюта
[2022-11-01 13:17:04,600][lightning][INFO] - prediction: джой чтотако ваюта
[2022-11-01 13:17:06,491][lightning][INFO] - reference : салют кто там главная шишка в сбере
[2022-11-01 13:17:06,491][lightning][INFO] - prediction: салют ктотангакно шечко сбеве
[2022-11-01 13:17:08,533][lightning][INFO] - reference : афина все фильмы с анджелиной джоли
[2022-11-01 13:17:08,533][lightning][INFO] - prediction: афина чефимьмусожедины нжоли
[2022-11-01 13:17:10,305][lightning][INFO] - reference : салют уменьши яркость в ванной комнате
[2022-11-01 13:17:10,305][lightning][INFO] - prediction: салют уненшиаросбану коноца
[2022-11-01 13:17:12,543][lightning][INFO] - reference : сбер курс американского доллара в москве
[2022-11-01 13:17:12,543][lightning][INFO] - prediction: сбер осамекаскодолра маске
[2022-11-01 13:17:14,468][lightning][INFO] - reference : сбер включить канал телевидения нтв сериал
[2022-11-01 13:17:14,468][lightning][INFO] - prediction: сбер включите конолтелеведии товчри
[2022-11-01 13:17:16,246][lightning][INFO] - reference : афина когда начались нападения японцев на русских солдат
[2022-11-01 13:17:16,246][lightning][INFO] - prediction: афина когдамечебис на падении поса внаутисадат
[2022-11-01 13:17:18,002][lightning][INFO] - reference : сбер показать москва двадцать четыре
[2022-11-01 13:17:18,003][lightning][INFO] - prediction: сбер показать масладрасачепи
[2022-11-01 13:17:20,475][lightning][INFO] - reference : афина брасс это какой вид спорта
[2022-11-01 13:17:20,476][lightning][INFO] - prediction: афина грастакаковитесклорта
[2022-11-01 13:17:22,431][lightning][INFO] - reference : джой оплатить через сбербанк мой мобильный
[2022-11-01 13:17:22,431][lightning][INFO] - prediction: джой потичетнево намодерни
[2022-11-01 13:17:24,109][lightning][INFO] - reference : сбер что такое приход национал социалистов к власти
[2022-11-01 13:17:24,110][lightning][INFO] - prediction: сбер что такобере потмлюцанацацаловиста зластен
[2022-11-01 13:17:25,819][lightning][INFO] - reference : сбер покажи каналы еда
[2022-11-01 13:17:25,819][lightning][INFO] - prediction: сбер покожи канмолдиба
[2022-11-01 13:17:27,605][lightning][INFO] - reference : джой организуй мне стол в кафе на завтра
[2022-11-01 13:17:27,605][lightning][INFO] - prediction: джой побелузониестов кафона завтраодь
[2022-11-01 13:17:29,428][lightning][INFO] - reference : сбер смотреть рембо пятая часть онлайн
[2022-11-01 13:17:29,428][lightning][INFO] - prediction: сбесмосмототрбо яточастуай
[2022-11-01 13:17:31,384][lightning][INFO] - reference : салют сделай потемнее на балконе
[2022-11-01 13:17:31,384][lightning][INFO] - prediction: салют исдевапатемевена балкоди
[2022-11-01 13:17:33,489][lightning][INFO] - reference : сбер мужская консультация мужское движение
[2022-11-01 13:17:33,489][lightning][INFO] - prediction: бе ускакосатасероско вежин
[2022-11-01 13:17:35,362][lightning][INFO] - reference : какие министерства внутренней безопасности ты знаешь
[2022-11-01 13:17:35,362][lightning][INFO] - prediction: и акиемидисдесме нупринисаасосте пезмаешш
[2022-11-01 13:17:37,475][lightning][INFO] - reference : афина почему север выступил за отмену рабства в сша
[2022-11-01 13:17:37,475][lightning][INFO] - prediction: афина кочемусвервысти ползатные нурансто всоша
[2022-11-01 13:17:39,254][lightning][INFO] - reference : джой уточни мне баланс на моей карте россельхозбанка
[2022-11-01 13:17:39,254][lightning][INFO] - prediction: джой даене ммепбаланснамае карерасельхозбата
[2022-11-01 13:17:40,946][lightning][INFO] - reference : джой у тебя есть любимое приложение
[2022-11-01 13:17:40,946][lightning][INFO] - prediction: джой перзкибиматролажени
[2022-11-01 13:17:42,786][lightning][INFO] - reference : джой включи диму ярмазевича
[2022-11-01 13:17:42,787][lightning][INFO] - prediction: джойвкюи нинынермазервиче
[2022-11-01 13:17:44,788][lightning][INFO] - reference : джой часовой пояс ромны
[2022-11-01 13:17:44,788][lightning][INFO] - prediction: джой часово по н
[2022-11-01 13:17:46,644][lightning][INFO] - reference : афина про что и ты дитя мое
[2022-11-01 13:17:46,644][lightning][INFO] - prediction: афина праство епем децямазо
[2022-11-01 13:17:48,289][lightning][INFO] - reference : салют какие виды налога на заработную плату ты знаешь
[2022-11-01 13:17:48,289][lightning][INFO] - prediction: салют какивенанало назарк ны бодаты знаешь
[2022-11-01 13:17:50,244][lightning][INFO] - reference : джой доброй ночи как закрыть мою кредитную карту и счет по ней
[2022-11-01 13:17:50,244][lightning][INFO] - prediction: джой дорынашь котакрит на кедитну карта пичсер поди
[2022-11-01 13:17:51,997][lightning][INFO] - reference : джой давай начни сначала тоже самое
[2022-11-01 13:17:51,997][lightning][INFO] - prediction: джой дама насис ночал посан
[2022-11-01 13:17:54,338][lightning][INFO] - reference : джой что случилось милая
[2022-11-01 13:17:54,338][lightning][INFO] - prediction: джой ччто слючивусмил
[2022-11-01 13:17:56,221][lightning][INFO] - reference : есть ли у дудиной натальи дочь
[2022-11-01 13:17:56,222][lightning][INFO] - prediction: лесит убиубуиме натанииточ
[2022-11-01 13:17:58,008][lightning][INFO] - reference : сбер ассистент когда пойдет снег
[2022-11-01 13:17:58,008][lightning][INFO] - prediction: сбер ачиссен когдаполечни
[2022-11-01 13:17:59,775][lightning][INFO] - reference : афина в каком фильме недавно снялся хабенский
[2022-11-01 13:17:59,775][lightning][INFO] - prediction: афина арофирльменитамисасих робеянск
[2022-11-01 13:18:01,721][lightning][INFO] - reference : сбер я потерял карту что мне делать
[2022-11-01 13:18:01,721][lightning][INFO] - prediction: сбер яккилян картостомнедиот
[2022-11-01 13:18:03,493][lightning][INFO] - reference : афина я могу узнать почему мне не одобрили кредит
[2022-11-01 13:18:03,493][lightning][INFO] - prediction: афина ря магузнаттучемленятобрюдекритить
[2022-11-01 13:18:05,308][lightning][INFO] - reference : джой сейчас сколько времени
[2022-11-01 13:18:05,308][lightning][INFO] - prediction: джой сечассов ковремни
[2022-11-01 13:18:07,557][lightning][INFO] - reference : джой смотреть онлайн триллер хорошее качество
[2022-11-01 13:18:07,557][lightning][INFO] - prediction: джой смо прицемлан птореевиркороа качсн
[2022-11-01 13:18:09,163][lightning][INFO] - reference : афина какая валюта в судане
[2022-11-01 13:18:09,163][lightning][INFO] - prediction: афина какая малютавседан
[2022-11-01 13:18:10,930][lightning][INFO] - reference : салют сколько занимают британские острова
[2022-11-01 13:18:10,931][lightning][INFO] - prediction: салют колько знивалбриданскировы
[2022-11-01 13:18:12,881][lightning][INFO] - reference : сбер как указать свои реквизиты
[2022-11-01 13:18:12,881][lightning][INFO] - prediction: сбер как козатся верепезида
[2022-11-01 13:18:14,565][lightning][INFO] - reference : джой какой валютой расплачиваются на мальте
[2022-11-01 13:18:14,566][lightning][INFO] - prediction: джой какой молютраспачусмомаке
[2022-11-01 13:18:16,841][lightning][INFO] - reference : афина какие книги любит греф
[2022-11-01 13:18:16,841][lightning][INFO] - prediction: афина какие кнегеливекрех
[2022-11-01 13:18:18,541][lightning][INFO] - reference : джой страна бруклин есть
[2022-11-01 13:18:18,541][lightning][INFO] - prediction: джой странабруки есть
[2022-11-01 13:18:20,650][lightning][INFO] - reference : афина замужем ли белла златкис
[2022-11-01 13:18:20,650][lightning][INFO] - prediction: афина замужем ибла заттис
[2022-11-01 13:18:22,665][lightning][INFO] - reference : джой слишком громко тише
[2022-11-01 13:18:22,666][lightning][INFO] - prediction: джой сешту бру катсише
[2022-11-01 13:18:24,781][lightning][INFO] - reference : джой открой канал совершенно секретно
[2022-11-01 13:18:24,781][lightning][INFO] - prediction: джой поткра канасалешанасекред
[2022-11-01 13:18:26,778][lightning][INFO] - reference : джой скажи мне атмосферное давление на сегодняшний день по часам
[2022-11-01 13:18:26,778][lightning][INFO] - prediction: джой скажи мнет мосляно довлени на севоничемдимкочеса
[2022-11-01 13:18:28,816][lightning][INFO] - reference : салют где был первый крестовый поход
[2022-11-01 13:18:28,816][lightning][INFO] - prediction: салют где бо перв кристоль бохот
[2022-11-01 13:18:30,737][lightning][INFO] - reference : афина поставь восьмой канал
[2022-11-01 13:18:30,737][lightning][INFO] - prediction: афина постовь восмый канал
[2022-11-01 13:18:32,880][lightning][INFO] - reference : афина добрый вечер это что за арест на мой счет
[2022-11-01 13:18:32,881][lightning][INFO] - prediction: афина долпрывечер птчтозарес намычче
[2022-11-01 13:18:34,568][lightning][INFO] - reference : салют что такое концессия
[2022-11-01 13:18:34,568][lightning][INFO] - prediction: салют что такой канцеси
[2022-11-01 13:18:36,596][lightning][INFO] - reference : сбер какие координаты у калининградский кафедральный собор
[2022-11-01 13:18:36,596][lightning][INFO] - prediction: сбер каки тарде мата уколеит драдски отедральна собор
[2022-11-01 13:18:38,408][lightning][INFO] - reference : афина будет ли продолжение фильма аватар или уже есть
[2022-11-01 13:18:38,409][lightning][INFO] - prediction: афина вульды коножан фильмо матану навс
[2022-11-01 13:18:40,221][lightning][INFO] - reference : салют где находится дивизия имени дзержинского
[2022-11-01 13:18:40,221][lightning][INFO] - prediction: алюпираподьсаевисинит дежеску
[2022-11-01 13:18:42,334][lightning][INFO] - reference : салют установи будильник на пять утра ежедневно
[2022-11-01 13:18:42,335][lightning][INFO] - prediction: салют устонабибудиьникняпятитра лечибин
[2022-11-01 13:18:44,162][lightning][INFO] - reference : салют к какому территориальному банку относятся чебоксары
[2022-11-01 13:18:44,162][lightning][INFO] - prediction: салют какуму терепринонван катоше ячи поса
[2022-11-01 13:18:46,193][lightning][INFO] - reference : афина добрый день как отключить автоплатеж
[2022-11-01 13:18:46,193][lightning][INFO] - prediction: афина добрыде как аткечитятоснатж
[2022-11-01 13:18:48,283][lightning][INFO] - reference : джой мне надо узнать комиссию за перевод
[2022-11-01 13:18:48,283][lightning][INFO] - prediction: джой гне надожнать комиси заперевот
[2022-11-01 13:18:49,909][lightning][INFO] - reference : салют что тебе нравится по жизни делать
[2022-11-01 13:18:49,910][lightning][INFO] - prediction: салют чтодибнаратся пожижни денутев
[2022-11-01 13:18:52,377][lightning][INFO] - reference : сбер какие деньги в монголии
[2022-11-01 13:18:52,377][lightning][INFO] - prediction: сбер какие деньги манголен
[2022-11-01 13:18:54,351][lightning][INFO] - reference : сбер какая комиссия за эту услугу
[2022-11-01 13:18:54,352][lightning][INFO] - prediction: сбер кага кронесезаикууфлуву
[2022-11-01 13:18:56,457][lightning][INFO] - reference : афина подскажите курс валюты
[2022-11-01 13:18:56,457][lightning][INFO] - prediction: афина подскажитеуслалюты
[2022-11-01 13:18:58,457][lightning][INFO] - reference : сбер когда начался скотт пилигрим
[2022-11-01 13:18:58,458][lightning][INFO] - prediction: сбер когда начасоскот илегр
[2022-11-01 13:19:00,746][lightning][INFO] - reference : джой по какой книге снят фильм молчание ягнят
[2022-11-01 13:19:00,746][lightning][INFO] - prediction: джой по какой пнединяфиль маченизиме
[2022-11-01 13:19:02,875][lightning][INFO] - reference : сбер международный свифт
[2022-11-01 13:19:02,875][lightning][INFO] - prediction: сбер неждоналоднысист
[2022-11-01 13:19:04,497][lightning][INFO] - reference : какое любимое блюдо у станислава константиновича
[2022-11-01 13:19:04,498][lightning][INFO] - prediction: огбило глубустанисонкнстантено
[2022-11-01 13:19:06,253][lightning][INFO] - reference : сбер когда возник сон в летнюю ночь
[2022-11-01 13:19:06,254][lightning][INFO] - prediction: сбер когдо вазниек соми мачь
[2022-11-01 13:19:08,378][lightning][INFO] - reference : салют могу ли я увеличить лимит по кредитной карте
[2022-11-01 13:19:08,378][lightning][INFO] - prediction: салют наголеялвевичи тлеет поредитной карте
[2022-11-01 13:19:10,066][lightning][INFO] - reference : джой экранизация уэлса в главной роли том круз
[2022-11-01 13:19:10,066][lightning][INFO] - prediction: джой акразатсяуотсямановоли тоонкррс
[2022-11-01 13:19:11,814][lightning][INFO] - reference : сбер переключи на канал домашний
[2022-11-01 13:19:11,814][lightning][INFO] - prediction: сбер преплючина канадомос
[2022-11-01 13:19:14,004][lightning][INFO] - reference : салют как считается прибыль
[2022-11-01 13:19:14,004][lightning][INFO] - prediction: салют качи таецсу пребун
[2022-11-01 13:19:15,911][lightning][INFO] - reference : сбер как пополнить баланс телефона
[2022-11-01 13:19:15,912][lightning][INFO] - prediction: сбер копотом баантеефоно
[2022-11-01 13:19:17,850][lightning][INFO] - reference : джой чем платить в нидерландах
[2022-11-01 13:19:17,850][lightning][INFO] - prediction: джой чем латить недеманда
[2022-11-01 13:19:19,831][lightning][INFO] - reference : джой в красный понедельник будет дождь
[2022-11-01 13:19:19,831][lightning][INFO] - prediction: джой крас ни кедидени к поди дежт
[2022-11-01 13:19:21,850][lightning][INFO] - reference : сбер спокойной ночи помощник
[2022-11-01 13:19:21,850][lightning][INFO] - prediction: сбер скакони нолчи помочни
[2022-11-01 13:19:23,739][lightning][INFO] - reference : салют как погасить часть кредита досрочно
[2022-11-01 13:19:23,739][lightning][INFO] - prediction: салют какбодозечжаскведетадасрочна
[2022-11-01 13:19:25,724][lightning][INFO] - reference : джой привет алиса какая валюта используется в пекине
[2022-11-01 13:19:25,724][lightning][INFO] - prediction: джой преве таис какая валют ипользисяпти
[2022-11-01 13:19:27,406][lightning][INFO] - reference : афина может расскажешь о себе
[2022-11-01 13:19:27,406][lightning][INFO] - prediction: афина нужи праскажи шесебе
[2022-11-01 13:19:29,377][lightning][INFO] - reference : джой на каком языке создано драконье копье
[2022-11-01 13:19:29,377][lightning][INFO] - prediction: джой о какомезатирстонну доркон коркя
[2022-11-01 13:19:31,096][lightning][INFO] - reference : сбер включи глав тему глав радио онлайн
[2022-11-01 13:19:31,096][lightning][INFO] - prediction: сбер включи блавтену глбрадеольна
[2022-11-01 13:19:33,013][lightning][INFO] - reference : джой размер комиссии за снятие наличных средств в банкомате
[2022-11-01 13:19:33,014][lightning][INFO] - prediction: джой правмер олнесизасняти малючна свету банкомате
[2022-11-01 13:19:34,698][lightning][INFO] - reference : джой какие ранние новые время ты знаешь
[2022-11-01 13:19:34,698][lightning][INFO] - prediction: джой каки веране новы дримо ты знаешь
[2022-11-01 13:19:37,280][lightning][INFO] - reference : джой какие виды церкви сатаны ты знаешь
